shopify_handle,shopify_title,shopify_status,published,variant_sku,option_1,option_2,option_3,shopify_retail_gbp,inventory_tracker,inventory_quantity,inventory_policy,shopify_barcode,historical_map_link,feed_link,feed_size,feed_barcode,feed_wholesale_gbp_unconfirmed_vat_basis,feed_tax_flag,pack_size_text_match,supplier_multipack,barcode_comparison,warning_no_promo_inclusive,warning_first_order_inclusive,warning_repeat_order_inclusive,warning_no_promo_vat_extra,warning_first_order_vat_extra,warning_repeat_order_vat_extra
applied-nutrition-mass,Applied Nutrition Mass,active,true,APP028,2.4kg Vanilla,,,49.99,,0,deny,,YES,YES,2.4kg,5056555205075,24.52,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN
barebells-protein-bar,Barebells Protein Bar (Cookies & Cream),draft,false,BAR007,12x55g Cookies and Cream,,,2.30,,0,deny,,YES,YES,12x55g,27340001800474,16.92,VAT,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
bio-synergy-whey-better,Bio-Synergy Whey Better®,active,true,SYN031,750g Vanilla,,,49.99,,0,deny,,YES,YES,750g,5034839005115,26.25,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
bio-synergy-whey-hey,Bio-Synergy Whey Hey®,active,true,SYN033,908g Coconut,,,36.99,,0,deny,,YES,YES,908g,5034839007218,23.33,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
bulk-complete-multivitamin-complex,Bulk Complete Multivitamin Complex,active,true,BLK106,90 Tabs,,,17.99,,0,deny,,YES,YES,90 Tabs,5055950622241,6.25,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
bulk-creatine-monohydrate,Bulk Creatine Monohydrate,active,true,BLK012,200g Unflavoured,,,24.99,,0,deny,,YES,YES,200g,5055950627857,5.00,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS
bulk-electrolyte-powder,Bulk Electrolyte Powder,active,true,BLK101,500g Orange & Mango,,,12.99,,0,deny,,YES,YES,500g,5055950625426,12.50,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
bulk-magnesium-bisglycinate,Bulk Magnesium Bisglycinate,active,true,TLL-bulk-magnesium-bisglycinate,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
bulk-omega-3-fish-oil,Bulk Omega-3 Fish Oil,active,true,TLL-bulk-omega-3-fish-oil,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
bulk-pure-whey-isolate,Bulk Pure Whey Isolate,active,true,BLK030,450g Chocolate,,,34.99,,0,deny,,NO,YES,450g,5055950627796,15.00,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN
bulk-pure-whey-protein,Bulk Pure Whey Protein,active,true,BLK020,450g Vanilla,,,29.99,,0,deny,,YES,YES,450g,5055950627642,8.75,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS
bulk-zma,Bulk ZMA,active,true,TLL-bulk-zma,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
cnp-loaded-eaa,CNP Professional CNP EAA,active,true,CNP318,300g Lemon Drop,,,29.99,,0,deny,,YES,YES,300g,,10.20,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,NO_WARNING_BEFORE_OMITTED_COSTS
cnp-pro-creatine,CNP Pro Creatine,active,true,CNP332,500g,,,14.99,,0,deny,,YES,YES,500g,,10.99,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
cnp-pro-recover,CNP Professional Pro Recover,draft,false,CNP290,5.04kg Chocolate,,,35.00,,0,deny,,YES,YES,5.04kg,,49.99,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
cnp-whey,CNP Whey,draft,false,CNP300,2kg Strawberry,,,29.99,,0,deny,,YES,YES,2kg,,38.99,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
darkstims-creatine-monohydrate,Darkstims Creatine Monohydrate,active,true,DRK002,500g Unflavoured,,,18.00,,0,deny,,YES,YES,500g,5065024878139,8.99,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
darkstims-electrolytes,Darkstims Electrolytes,active,true,TLL-darkstims-electrolytes,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
darkstims-pre-v4,Darkstims PRE V4,active,true,DRK021,500g Red Apple,,,35.00,,0,deny,,YES,YES,500g,5070002220077,17.99,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
ghost-hydration,Ghost Lifestyle Ghost Hydration,active,true,GH0027,360g Kiwi Strawberry,,,29.99,,0,deny,,YES,YES,360g,810028299177,20.80,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
ghost-legend-v4,Ghost Lifestyle Ghost Legend,active,true,GH0080,660g Bubblicious Strawberry Splash,,,38.99,,0,deny,,YES,YES,660g,,22.99,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
ghost-whey,Ghost Whey,draft,false,GH0055,2.17kg Cinnabon,,,39.99,,0,deny,,YES,YES,2.17kg,810128526357,55.51,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
grenade-carb-killa,Grenade Carb Killa (Chocolate Chip Salted Caramel),active,true,GRE091,12x60g Chocolate Chip Salted Caramel,,,22.99,,0,deny,,YES,YES,12x60g,5060221206877,17.64,VAT,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
high5-zero,High5 Zero,draft,false,HIG052,8x20 Tabs Orange & Cherry,,,7.99,,0,deny,,YES,YES,8x20 Tabs,5027492996029,30.21,VAT,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
hr-labs-defib-v3,HR Labs Defib V3,active,true,TLL-hr-labs-defib-v3,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
hr-labs-hydro,HR Labs Hydro,draft,false,TLL-hr-labs-hydro,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
huel-black-edition-ready-to-drink,Huel Black Edition Ready-to-drink (Chocolate),draft,false,HUE020,8x500ml Chocolate,,,3.75,,0,deny,,YES,YES,8x500ml,15060925291794,22.60,Zero,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
huel-lite-ready-to-drink,Huel Lite Ready-to-drink (Chocolate),draft,false,HUE036,8x500ml Chocolate,,,3.50,,0,deny,,YES,YES,8x500ml,15060925295419,19.92,Zero,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
huel-ready-to-drink,Huel Ready-to-drink (Vanilla),draft,false,HUE006,8x500ml Vanilla,,,3.50,,0,deny,,YES,YES,8x500ml,15060929633477,20.97,Zero,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
intra-lift-own-label-slot,Intra-LIFT (own-label slot),draft,false,TLL-INTRA-LIFT-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
mutant-geaar,Mutant GEAAR,active,true,MUT124,378g Tropical Fruit Punch,,,29.99,,0,deny,,YES,YES,378g,627933222011,12.44,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN
myprotein-creapure-creatine,MyProtein Creapure Creatine,active,true,TLL-myprotein-creapure-creatine,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
myprotein-impact-creatine,MyProtein Impact Creatine,active,true,TLL-myprotein-impact-creatine,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
myprotein-impact-whey-isolate,MyProtein Impact Whey Isolate,draft,false,MYP076,2.5kg Chocolate,,,74.99,,0,deny,,YES,YES,2.5kg,5055534303016,86.88,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
myprotein-impact-whey-protein,MyProtein Impact Whey Protein,active,true,TLL-myprotein-impact-whey-protein,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
myprotein-origin-pre-workout,MyProtein Origin Pre-Workout,active,true,TLL-myprotein-origin-pre-workout,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
naughty-boy-menace,Naughty Boy Menace,active,true,NAU180,420g Sour Blue Razz,,,34.99,,0,deny,,YES,YES,420g,5061071620370,18.96,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
optimum-nutrition-electrolyte-powder,Optimum Nutrition Electrolyte Powder,active,true,OPT267,264g Lemon,,,9.99,,0,deny,,YES,YES,264g,5060751998044,6.00,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
optimum-nutrition-essential-amino-energy,Optimum Nutrition Essential Amino Energy,active,true,OPT005,270g Fruit Fusion,,,21.99,,0,deny,,YES,YES,270g,5060245607445,15.81,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
optimum-nutrition-gold-standard-100-casein,Optimum Nutrition Gold Standard 100% Casein,active,true,OPT034,896g Chocolate,,,39.99,,0,deny,,YES,YES,896g,5060469989877,35.27,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
optimum-nutrition-gold-standard-100-isolate,Optimum Nutrition Gold Standard 100% Isolate,active,true,OPT156,930g Chocolate,,,39.99,,0,deny,,YES,YES,930g,5060469987538,39.31,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
optimum-nutrition-gold-standard-100-whey,Optimum Nutrition Gold Standard 100% Whey,active,true,OPT296,775g Double Rich Chocolate,,,54.99,,0,deny,,YES,YES,775g,5060751998525,34.41,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
optimum-nutrition-gold-standard-whey-slot,Optimum Nutrition Gold Standard Whey (slot),draft,false,TLL-ON-GSW-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
optimum-nutrition-micronised-creatine-powder,Optimum Nutrition Micronised Creatine Powder,active,true,OPT107,317g,,,20.00,,0,deny,,YES,YES,317g,5060245605397,13.60,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
optimum-nutrition-platinum-creatine-plus,Optimum Nutrition Platinum Creatine Plus,active,true,OPT252,350g Pineapple,,,35.00,,0,deny,,YES,YES,350g,5060751997344,17.99,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
optimum-nutrition-platinum-pre-workout,Optimum Nutrition Platinum Pre-Workout,active,true,OPT247,420g Fruit Punch,,,29.99,,0,deny,,YES,YES,420g,5060751992578,16.42,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
optimum-nutrition-serious-mass,Optimum Nutrition Serious Mass,active,true,OPT137,2.73kg Chocolate,,,49.99,,0,deny,,YES,YES,2.73kg,5060469985206,30.28,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
per4m-advanced-whey,Per4m Advanced Whey,active,true,PER183,900g Cherry Bakewell,,,34.99,,0,deny,,YES,YES,900g,5060660082704,24.99,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
per4m-creatine-slot,Per4m Creatine (slot),draft,false,TLL-PER4M-CREATINE-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
per4m-eaa,Per4m EAA,active,true,PER042,420g Lemon Lime Splash,,,27.99,,0,deny,,YES,YES,420g,5060660085200,14.49,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
per4m-isolate,Per4m Isolate,active,true,PER012,900g Chocolate Creme,,,34.99,,0,deny,,YES,YES,900g,8030908005274,25.99,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
per4m-pre-workout-slot,Per4m Pre-Workout (slot),draft,false,TLL-PER4M-PRE-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
per4m-whey-slot,Per4m Whey (slot),draft,false,TLL-PER4M-WHEY-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
phd-nutrition-smart-bar,PhD Nutrition Smart Bar (Cookies & Cream),draft,false,PHD174,12x64g Cookies & Cream,,,2.30,,0,deny,,YES,YES,12x64g,5025324012947,15.45,VAT,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
post-lift-own-label-slot,Post-LIFT (own-label slot),draft,false,TLL-POST-LIFT-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
pre-lift-own-label-slot,Pre-LIFT (own-label slot),draft,false,TLL-PRE-LIFT-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
quest-nutrition-quest-bar,Quest Nutrition Quest Bar,draft,false,QUE019,12x60g Chocolate Brownie,,,2.50,,0,deny,,NO,YES,12x60g,888849000425,19.99,VAT,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
reflex-nutrition-100-whey,Reflex Nutrition 100% Whey,active,true,REF152,720g Chocolate,,,44.99,,0,deny,,YES,YES,720g,5033579002637,14.70,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS
reflex-nutrition-isolate-pro,Reflex Nutrition Isolate Pro,active,true,REF170,1.8kg Chocolate,,,64.99,,0,deny,,YES,YES,1.8kg,5033579002675,47.68,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
reflex-nutrition-one-stop-xtreme,Reflex Nutrition One Stop Xtreme,draft,false,REF130,4.35kg Blueberry,,,45.00,,0,deny,,YES,YES,4.35kg,5033579001883,45.75,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
sci-mx-ultra-whey,Sci-MX Ultra Whey,active,true,SMX001,800g Chocolate,,,39.99,,0,deny,,YES,YES,800g,5050028271215,15.00,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,NO_WARNING_BEFORE_OMITTED_COSTS
session-charge-own-label-slot,Session Charge (own-label slot),draft,false,TLL-SESSION-CHARGE-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
